Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,ETH_Price,ETH_Open,ETH_High,ETH_Low,ETH_Vol.,SOL_Price,SOL_Open,SOL_High,SOL_Low,SOL_Vol.,XRP_Price,XRP_Open,XRP_High,XRP_Low,XRP_Vol.,BNB_Price,BNB_Open,BNB_High,BNB_Low,BNB_Vol.
2020-07-13,9243.6,9300.5,9329.6,9207.6,456870.0,239.73,242.84,245.04,237.71,8320000.0,1.279,1.009,1.279,1.009,295740.0,0.1987,0.2012,0.2064,0.1941,1310000000.0,18.42,18.31,18.99,17.73,4280000.0
2020-07-14,9253.4,9243.1,9274.8,9135.7,453830.0,240.5,239.75,242.08,237.21,7070000.0,1.115,1.279,1.279,1.114,295740.0,0.1991,0.1987,0.1997,0.1951,948660000.0,18.09,18.42,18.76,17.88,3430000.0
2020-07-15,9198.7,9253.6,9270.2,9168.7,429840.0,238.62,240.49,241.36,237.04,7350000.0,1.383,1.115,1.384,1.115,295740.0,0.1972,0.1991,0.1997,0.1965,772570000.0,17.63,18.09,18.15,17.44,2910000.0
2020-07-21,9387.3,9162.3,9426.9,9155.1,458990.0,245.53,236.1,246.49,235.67,6290000.0,1.004,0.874,1.005,0.874,295740.0,0.1995,0.1947,0.2009,0.194,998170000.0,17.72,17.47,17.98,17.4,3290000.0
2020-07-22,9513.7,9387.4,9523.1,9296.0,386000.0,263.28,245.54,266.42,241.89,6680000.0,1.046,1.004,1.087,1.003,295740.0,0.2036,0.1995,0.2044,0.1962,1000000000.0,18.1,17.72,18.11,17.46,3390000.0
2020-07-23,9599.6,9513.6,9646.5,9451.1,425660.0,275.34,263.29,279.53,260.7,8790000.0,1.044,1.046,1.087,1.005,295740.0,0.2085,0.2036,0.2101,0.2016,1420000000.0,18.76,18.11,18.76,18.05,3660000.0
2020-07-25,9704.1,9546.7,9729.3,9536.2,306290.0,305.32,279.33,308.57,279.33,8590000.0,1.274,0.986,1.379,0.986,295740.0,0.2146,0.204,0.2174,0.2037,1260000000.0,19.8,19.18,20.03,19.16,4410000.0
2020-07-26,9932.5,9690.0,10086.6,9645.9,415070.0,311.13,305.32,318.54,300.33,9190000.0,1.61,1.274,1.61,1.249,295740.0,0.2153,0.2146,0.2249,0.213,1550000000.0,19.55,19.8,20.25,19.34,4230000.0
2020-07-27,11022.8,9932.7,11367.0,9894.6,908990.0,321.8,311.12,332.57,311.04,13730000.0,1.731,1.61,2.067,1.61,295740.0,0.2243,0.2153,0.2289,0.2101,2100000000.0,19.79,19.55,20.18,18.45,5590000.0
2020-07-28,10908.5,10961.1,11046.1,10873.6,658370.0,316.96,321.82,326.53,306.4,9910000.0,1.787,1.731,1.821,1.63,295740.0,0.2304,0.2243,0.2346,0.2173,2000000000.0,20.17,19.79,20.62,19.46,5190000.0
2020-07-29,11105.9,10908.4,11336.5,10771.8,576830.0,317.82,316.95,324.93,312.64,8720000.0,1.65,1.787,2.051,1.618,295740.0,0.2432,0.2304,0.25,0.2295,2440000000.0,19.84,19.84,19.85,19.8,3430000.0
2020-07-30,11096.2,11105.8,11164.4,10861.6,501140.0,334.87,317.79,341.11,314.83,9070000.0,1.67,1.649,1.785,1.649,295740.0,0.2442,0.241,0.2494,0.2374,1930000000.0,19.98,19.84,20.09,19.56,3180000.0
2020-07-31,11333.4,11096.5,11434.8,10964.6,530950.0,346.51,334.84,349.34,329.02,8690000.0,1.555,1.67,1.67,1.554,295740.0,0.2595,0.2441,0.2604,0.2418,1780000000.0,20.67,19.98,20.85,19.91,3350000.0
2020-08-01,11803.1,11333.2,11847.7,11226.1,611470.0,387.14,346.48,392.37,343.33,11030000.0,1.617,1.555,1.649,1.495,295740.0,0.291,0.2595,0.2974,0.2558,3300000000.0,21.62,20.67,21.75,20.58,3860000.0
